Date,Day Type,Screen,Screen Type,Movie,Genre,Duration,Show Time,Slot Category,Seats Booked,Capacity,Occupancy %,Ticket Price,Revenue,Occupancy Category,Revenue Category
01-May-25,Weekday,Screen 6,Premium,Shaitaan,Thriller,132,7:00 PM,Prime Time,107,130,82,350,37450,High,Normal Revenue
01-May-25,Weekday,Screen 6,Premium,Bad Newz,Comedy,142,10:00 PM,Night,78,130,60,350,27300,Medium,Normal Revenue
01-May-25,Weekday,Screen 7,Standard,Kalki,Sci-Fi,180,10:00 AM,Morning,60,90,67,250,15000,Medium,Normal Revenue
01-May-25,Weekday,Screen 7,Standard,Pushpa 2,Action,170,1:00 PM,Afternoon,68,90,76,250,17000,Medium,Normal Revenue
01-May-25,Weekday,Screen 7,Standard,Shaitaan,Thriller,132,4:00 PM,Evening,63,90,70,250,15750,Medium,Normal Revenue
01-May-25,Weekday,Screen 7,Standard,Kalki,Sci-Fi,180,7:00 PM,Prime Time,87,90,97,250,21750,High,Normal Revenue
01-May-25,Weekday,Screen 7,Standard,Crew,Comedy Drama,124,10:00 PM,Night,55,90,61,250,13750,Medium,Normal Revenue
01-May-25,Weekday,Screen 8,IMAX,Kalki,Sci-Fi,180,10:00 AM,Morning,84,150,56,450,37800,Medium,Normal Revenue
01-May-25,Weekday,Screen 8,IMAX,Stree 2,Horror Comedy,150,1:00 PM,Afternoon,110,150,73,450,49500,Medium,Normal Revenue
01-May-25,Weekday,Screen 8,IMAX,Munjya,Horror Comedy,123,4:00 PM,Evening,140,150,93,450,63000,High,High Revenue
01-May-25,Weekday,Screen 8,IMAX,Animal,Crime Drama,201,7:00 PM,Prime Time,144,150,96,450,64800,High,High Revenue
01-May-25,Weekday,Screen 8,IMAX,Chandu Champion,Sports Drama,145,10:00 PM,Night,126,150,84,450,56700,High,High Revenue
01-May-25,Weekday,Screen 9,Standard,Crew,Comedy Drama,124,10:00 AM,Morning,42,100,42,250,10500,Low,Normal Revenue
01-May-25,Weekday,Screen 9,Standard,Animal,Crime Drama,201,1:00 PM,Afternoon,58,100,58,250,14500,Medium,Normal Revenue
01-May-25,Weekday,Screen 9,Standard,Crew,Comedy Drama,124,4:00 PM,Evening,91,100,91,250,22750,High,Normal Revenue
01-May-25,Weekday,Screen 9,Standard,Animal,Crime Drama,201,7:00 PM,Prime Time,89,100,89,250,22250,High,Normal Revenue
01-May-25,Weekday,Screen 9,Standard,Animal,Crime Drama,201,10:00 PM,Night,81,100,81,250,20250,High,Normal Revenue
01-May-25,Weekday,Screen 10,Premium,Crew,Comedy Drama,124,10:00 AM,Morning,78,120,65,350,27300,Medium,Normal Revenue
01-May-25,Weekday,Screen 10,Premium,Shaitaan,Thriller,132,1:00 PM,Afternoon,84,120,70,350,29400,Medium,Normal Revenue
01-May-25,Weekday,Screen 10,Premium,Kalki,Sci-Fi,180,4:00 PM,Evening,112,120,93,350,39200,High,Normal Revenue
01-May-25,Weekday,Screen 10,Premium,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,108,120,90,350,37800,High,Normal Revenue
01-May-25,Weekday,Screen 10,Premium,Fighter,Action,166,10:00 PM,Night,72,120,60,350,25200,Medium,Normal Revenue
01-May-25,Weekday,Screen 11,Standard,Animal,Crime Drama,201,10:00 AM,Morning,53,80,66,250,13250,Medium,Normal Revenue
01-May-25,Weekday,Screen 11,Standard,Stree 2,Horror Comedy,150,1:00 PM,Afternoon,54,80,68,250,13500,Medium,Normal Revenue
01-May-25,Weekday,Screen 11,Standard,Stree 2,Horror Comedy,150,4:00 PM,Evening,69,80,86,250,17250,High,Normal Revenue
01-May-25,Weekday,Screen 11,Standard,Stree 2,Horror Comedy,150,7:00 PM,Prime Time,80,80,100,250,20000,High,Normal Revenue
01-May-25,Weekday,Screen 11,Standard,Fighter,Action,166,10:00 PM,Night,65,80,81,250,16250,High,Normal Revenue
01-May-25,Weekday,Screen 12,IMAX,Animal,Crime Drama,201,10:00 AM,Morning,59,140,42,450,26550,Low,Normal Revenue
01-May-25,Weekday,Screen 12,IMAX,Munjya,Horror Comedy,123,1:00 PM,Afternoon,78,140,56,450,35100,Medium,Normal Revenue
01-May-25,Weekday,Screen 12,IMAX,Kalki,Sci-Fi,180,4:00 PM,Evening,104,140,74,450,46800,Medium,Normal Revenue
01-May-25,Weekday,Screen 12,IMAX,Munjya,Horror Comedy,123,7:00 PM,Prime Time,113,140,81,450,50850,High,High Revenue
01-May-25,Weekday,Screen 12,IMAX,Crew,Comedy Drama,124,10:00 PM,Night,91,140,65,450,40950,Medium,Normal Revenue
02-May-25,Weekday,Screen 1,IMAX,Stree 2,Horror Comedy,150,10:00 AM,Morning,76,120,63,450,34200,Medium,Normal Revenue
02-May-25,Weekday,Screen 1,IMAX,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,88,120,73,450,39600,Medium,Normal Revenue
02-May-25,Weekday,Screen 1,IMAX,Animal,Crime Drama,201,4:00 PM,Evening,86,120,72,450,38700,Medium,Normal Revenue
02-May-25,Weekday,Screen 1,IMAX,Bad Newz,Comedy,142,7:00 PM,Prime Time,118,120,98,450,53100,High,High Revenue
02-May-25,Weekday,Screen 1,IMAX,Pushpa 2,Action,170,10:00 PM,Night,80,120,67,450,36000,Medium,Normal Revenue
02-May-25,Weekday,Screen 2,Standard,Animal,Crime Drama,201,10:00 AM,Morning,50,80,63,250,12500,Medium,Normal Revenue
02-May-25,Weekday,Screen 2,Standard,Shaitaan,Thriller,132,1:00 PM,Afternoon,59,80,74,250,14750,Medium,Normal Revenue
02-May-25,Weekday,Screen 2,Standard,Animal,Crime Drama,201,4:00 PM,Evening,64,80,80,250,16000,High,Normal Revenue
02-May-25,Weekday,Screen 2,Standard,Bad Newz,Comedy,142,7:00 PM,Prime Time,74,80,93,250,18500,High,Normal Revenue
02-May-25,Weekday,Screen 2,Standard,Pushpa 2,Action,170,10:00 PM,Night,62,80,78,250,15500,Medium,Normal Revenue
02-May-25,Weekday,Screen 3,Standard,Munjya,Horror Comedy,123,10:00 AM,Morning,68,100,68,250,17000,Medium,Normal Revenue
02-May-25,Weekday,Screen 3,Standard,Fighter,Action,166,1:00 PM,Afternoon,57,100,57,250,14250,Medium,Normal Revenue
02-May-25,Weekday,Screen 3,Standard,Bad Newz,Comedy,142,4:00 PM,Evening,77,100,77,250,19250,Medium,Normal Revenue
02-May-25,Weekday,Screen 3,Standard,Fighter,Action,166,7:00 PM,Prime Time,96,100,96,250,24000,High,Normal Revenue
02-May-25,Weekday,Screen 3,Standard,Chandu Champion,Sports Drama,145,10:00 PM,Night,67,100,67,250,16750,Medium,Normal Revenue
02-May-25,Weekday,Screen 4,IMAX,Bad Newz,Comedy,142,10:00 AM,Morning,94,140,67,450,42300,Medium,Normal Revenue
02-May-25,Weekday,Screen 4,IMAX,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,105,140,75,450,47250,Medium,Normal Revenue
02-May-25,Weekday,Screen 4,IMAX,Kalki,Sci-Fi,180,4:00 PM,Evening,108,140,77,450,48600,Medium,Normal Revenue
02-May-25,Weekday,Screen 4,IMAX,Stree 2,Horror Comedy,150,7:00 PM,Prime Time,137,140,98,450,61650,High,High Revenue
02-May-25,Weekday,Screen 4,IMAX,Fighter,Action,166,10:00 PM,Night,98,140,70,450,44100,Medium,Normal Revenue
02-May-25,Weekday,Screen 5,Standard,Shaitaan,Thriller,132,10:00 AM,Morning,62,110,56,250,15500,Medium,Normal Revenue
02-May-25,Weekday,Screen 5,Standard,Crew,Comedy Drama,124,1:00 PM,Afternoon,70,110,64,250,17500,Medium,Normal Revenue
02-May-25,Weekday,Screen 5,Standard,Chandu Champion,Sports Drama,145,4:00 PM,Evening,87,110,79,250,21750,Medium,Normal Revenue
02-May-25,Weekday,Screen 5,Standard,Pushpa 2,Action,170,7:00 PM,Prime Time,90,110,82,250,22500,High,Normal Revenue
02-May-25,Weekday,Screen 5,Standard,Stree 2,Horror Comedy,150,10:00 PM,Night,84,110,76,250,21000,Medium,Normal Revenue
02-May-25,Weekday,Screen 6,Premium,Bad Newz,Comedy,142,10:00 AM,Morning,65,130,50,350,22750,Medium,Normal Revenue
02-May-25,Weekday,Screen 6,Premium,Pushpa 2,Action,170,1:00 PM,Afternoon,86,130,66,350,30100,Medium,Normal Revenue
02-May-25,Weekday,Screen 6,Premium,Animal,Crime Drama,201,4:00 PM,Evening,91,130,70,350,31850,Medium,Normal Revenue
02-May-25,Weekday,Screen 6,Premium,Munjya,Horror Comedy,123,7:00 PM,Prime Time,109,130,84,350,38150,High,Normal Revenue
02-May-25,Weekday,Screen 6,Premium,Stree 2,Horror Comedy,150,10:00 PM,Night,86,130,66,350,30100,Medium,Normal Revenue
02-May-25,Weekday,Screen 7,Standard,Kalki,Sci-Fi,180,10:00 AM,Morning,60,90,67,250,15000,Medium,Normal Revenue
02-May-25,Weekday,Screen 7,Standard,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,57,90,63,250,14250,Medium,Normal Revenue
02-May-25,Weekday,Screen 7,Standard,Bad Newz,Comedy,142,4:00 PM,Evening,80,90,89,250,20000,High,Normal Revenue
02-May-25,Weekday,Screen 7,Standard,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,83,90,92,250,20750,High,Normal Revenue
02-May-25,Weekday,Screen 7,Standard,Stree 2,Horror Comedy,150,10:00 PM,Night,77,90,86,250,19250,High,Normal Revenue
02-May-25,Weekday,Screen 8,IMAX,Munjya,Horror Comedy,123,10:00 AM,Morning,66,150,44,450,29700,Low,Normal Revenue
02-May-25,Weekday,Screen 8,IMAX,Stree 2,Horror Comedy,150,1:00 PM,Afternoon,114,150,76,450,51300,Medium,High Revenue
02-May-25,Weekday,Screen 8,IMAX,Animal,Crime Drama,201,4:00 PM,Evening,116,150,77,450,52200,Medium,High Revenue
02-May-25,Weekday,Screen 8,IMAX,Kalki,Sci-Fi,180,7:00 PM,Prime Time,146,150,97,450,65700,High,High Revenue
02-May-25,Weekday,Screen 8,IMAX,Stree 2,Horror Comedy,150,10:00 PM,Night,105,150,70,450,47250,Medium,Normal Revenue
02-May-25,Weekday,Screen 9,Standard,Stree 2,Horror Comedy,150,10:00 AM,Morning,59,100,59,250,14750,Medium,Normal Revenue
02-May-25,Weekday,Screen 9,Standard,Animal,Crime Drama,201,1:00 PM,Afternoon,64,100,64,250,16000,Medium,Normal Revenue
02-May-25,Weekday,Screen 9,Standard,Pushpa 2,Action,170,4:00 PM,Evening,73,100,73,250,18250,Medium,Normal Revenue
02-May-25,Weekday,Screen 9,Standard,Animal,Crime Drama,201,7:00 PM,Prime Time,80,100,80,250,20000,High,Normal Revenue
02-May-25,Weekday,Screen 9,Standard,Animal,Crime Drama,201,10:00 PM,Night,83,100,83,250,20750,High,Normal Revenue
02-May-25,Weekday,Screen 10,Premium,Kalki,Sci-Fi,180,10:00 AM,Morning,71,120,59,350,24850,Medium,Normal Revenue
02-May-25,Weekday,Screen 10,Premium,Pushpa 2,Action,170,1:00 PM,Afternoon,74,120,62,350,25900,Medium,Normal Revenue
02-May-25,Weekday,Screen 10,Premium,Kalki,Sci-Fi,180,4:00 PM,Evening,104,120,87,350,36400,High,Normal Revenue
02-May-25,Weekday,Screen 10,Premium,Fighter,Action,166,7:00 PM,Prime Time,119,120,99,350,41650,High,Normal Revenue
02-May-25,Weekday,Screen 10,Premium,Animal,Crime Drama,201,10:00 PM,Night,89,120,74,350,31150,Medium,Normal Revenue
02-May-25,Weekday,Screen 11,Standard,Chandu Champion,Sports Drama,145,10:00 AM,Morning,53,80,66,250,13250,Medium,Normal Revenue
02-May-25,Weekday,Screen 11,Standard,Fighter,Action,166,1:00 PM,Afternoon,57,80,71,250,14250,Medium,Normal Revenue
02-May-25,Weekday,Screen 11,Standard,Fighter,Action,166,4:00 PM,Evening,74,80,93,250,18500,High,Normal Revenue
02-May-25,Weekday,Screen 11,Standard,Fighter,Action,166,7:00 PM,Prime Time,75,80,94,250,18750,High,Normal Revenue
02-May-25,Weekday,Screen 11,Standard,Kalki,Sci-Fi,180,10:00 PM,Night,67,80,84,250,16750,High,Normal Revenue
02-May-25,Weekday,Screen 12,IMAX,Kalki,Sci-Fi,180,10:00 AM,Morning,56,140,40,450,25200,Low,Normal Revenue
02-May-25,Weekday,Screen 12,IMAX,Animal,Crime Drama,201,1:00 PM,Afternoon,83,140,59,450,37350,Medium,Normal Revenue
02-May-25,Weekday,Screen 12,IMAX,Bad Newz,Comedy,142,4:00 PM,Evening,112,140,80,450,50400,High,High Revenue
02-May-25,Weekday,Screen 12,IMAX,Munjya,Horror Comedy,123,7:00 PM,Prime Time,120,140,86,450,54000,High,High Revenue
02-May-25,Weekday,Screen 12,IMAX,Stree 2,Horror Comedy,150,10:00 PM,Night,106,140,76,450,47700,Medium,Normal Revenue
03-May-25,Weekend,Screen 1,IMAX,Stree 2,Horror Comedy,150,10:00 AM,Morning,86,120,72,450,38700,Medium,Normal Revenue
03-May-25,Weekend,Screen 1,IMAX,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,85,120,71,450,38250,Medium,Normal Revenue
03-May-25,Weekend,Screen 1,IMAX,Bad Newz,Comedy,142,4:00 PM,Evening,97,120,81,450,43650,High,Normal Revenue
03-May-25,Weekend,Screen 1,IMAX,Animal,Crime Drama,201,7:00 PM,Prime Time,120,120,100,450,54000,High,High Revenue
03-May-25,Weekend,Screen 1,IMAX,Bad Newz,Comedy,142,10:00 PM,Night,114,120,95,450,51300,High,High Revenue
03-May-25,Weekend,Screen 2,Standard,Kalki,Sci-Fi,180,10:00 AM,Morning,58,80,72,250,14500,Medium,Normal Revenue
03-May-25,Weekend,Screen 2,Standard,Bad Newz,Comedy,142,1:00 PM,Afternoon,62,80,77,250,15500,Medium,Normal Revenue
03-May-25,Weekend,Screen 2,Standard,Bad Newz,Comedy,142,4:00 PM,Evening,62,80,78,250,15500,Medium,Normal Revenue
03-May-25,Weekend,Screen 2,Standard,Pushpa 2,Action,170,7:00 PM,Prime Time,78,80,98,250,19500,High,Normal Revenue
03-May-25,Weekend,Screen 2,Standard,Shaitaan,Thriller,132,10:00 PM,Night,59,80,74,250,14750,Medium,Normal Revenue
03-May-25,Weekend,Screen 3,Standard,Shaitaan,Thriller,132,10:00 AM,Morning,62,100,62,250,15500,Medium,Normal Revenue
03-May-25,Weekend,Screen 3,Standard,Kalki,Sci-Fi,180,1:00 PM,Afternoon,80,100,80,250,20000,High,Normal Revenue
03-May-25,Weekend,Screen 3,Standard,Fighter,Action,166,4:00 PM,Evening,93,100,93,250,23250,High,Normal Revenue
03-May-25,Weekend,Screen 3,Standard,Kalki,Sci-Fi,180,7:00 PM,Prime Time,96,100,96,250,24000,High,Normal Revenue
03-May-25,Weekend,Screen 3,Standard,Crew,Comedy Drama,124,10:00 PM,Night,94,100,94,250,23500,High,Normal Revenue
03-May-25,Weekend,Screen 4,IMAX,Crew,Comedy Drama,124,10:00 AM,Morning,95,140,68,450,42750,Medium,Normal Revenue
03-May-25,Weekend,Screen 4,IMAX,Animal,Crime Drama,201,1:00 PM,Afternoon,108,140,77,450,48600,Medium,Normal Revenue
03-May-25,Weekend,Screen 4,IMAX,Animal,Crime Drama,201,4:00 PM,Evening,125,140,89,450,56250,High,High Revenue
03-May-25,Weekend,Screen 4,IMAX,Stree 2,Horror Comedy,150,7:00 PM,Prime Time,140,140,100,450,63000,High,High Revenue
03-May-25,Weekend,Screen 4,IMAX,Stree 2,Horror Comedy,150,10:00 PM,Night,118,140,84,450,53100,High,High Revenue
03-May-25,Weekend,Screen 5,Standard,Kalki,Sci-Fi,180,10:00 AM,Morning,80,110,73,250,20000,Medium,Normal Revenue
03-May-25,Weekend,Screen 5,Standard,Shaitaan,Thriller,132,1:00 PM,Afternoon,76,110,69,250,19000,Medium,Normal Revenue
03-May-25,Weekend,Screen 5,Standard,Fighter,Action,166,4:00 PM,Evening,106,110,96,250,26500,High,Normal Revenue
03-May-25,Weekend,Screen 5,Standard,Pushpa 2,Action,170,7:00 PM,Prime Time,98,110,89,250,24500,High,Normal Revenue
03-May-25,Weekend,Screen 5,Standard,Stree 2,Horror Comedy,150,10:00 PM,Night,103,110,94,250,25750,High,Normal Revenue
03-May-25,Weekend,Screen 6,Premium,Pushpa 2,Action,170,10:00 AM,Morning,94,130,72,350,32900,Medium,Normal Revenue
03-May-25,Weekend,Screen 6,Premium,Pushpa 2,Action,170,1:00 PM,Afternoon,86,130,66,350,30100,Medium,Normal Revenue
03-May-25,Weekend,Screen 6,Premium,Fighter,Action,166,4:00 PM,Evening,126,130,97,350,44100,High,Normal Revenue
03-May-25,Weekend,Screen 6,Premium,Crew,Comedy Drama,124,7:00 PM,Prime Time,130,130,100,350,45500,High,Normal Revenue
03-May-25,Weekend,Screen 6,Premium,Stree 2,Horror Comedy,150,10:00 PM,Night,84,130,65,350,29400,Medium,Normal Revenue
03-May-25,Weekend,Screen 7,Standard,Stree 2,Horror Comedy,150,10:00 AM,Morning,52,90,58,250,13000,Medium,Normal Revenue
03-May-25,Weekend,Screen 7,Standard,Fighter,Action,166,1:00 PM,Afternoon,61,90,68,250,15250,Medium,Normal Revenue
03-May-25,Weekend,Screen 7,Standard,Kalki,Sci-Fi,180,4:00 PM,Evening,69,90,77,250,17250,Medium,Normal Revenue
03-May-25,Weekend,Screen 7,Standard,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,90,90,100,250,22500,High,Normal Revenue
03-May-25,Weekend,Screen 7,Standard,Fighter,Action,166,10:00 PM,Night,60,90,67,250,15000,Medium,Normal Revenue
03-May-25,Weekend,Screen 8,IMAX,Shaitaan,Thriller,132,10:00 AM,Morning,84,150,56,450,37800,Medium,Normal Revenue
03-May-25,Weekend,Screen 8,IMAX,Shaitaan,Thriller,132,1:00 PM,Afternoon,105,150,70,450,47250,Medium,Normal Revenue
03-May-25,Weekend,Screen 8,IMAX,Chandu Champion,Sports Drama,145,4:00 PM,Evening,148,150,99,450,66600,High,High Revenue
03-May-25,Weekend,Screen 8,IMAX,Bad Newz,Comedy,142,7:00 PM,Prime Time,150,150,100,450,67500,High,High Revenue
03-May-25,Weekend,Screen 8,IMAX,Bad Newz,Comedy,142,10:00 PM,Night,123,150,82,450,55350,High,High Revenue
03-May-25,Weekend,Screen 9,Standard,Munjya,Horror Comedy,123,10:00 AM,Morning,54,100,54,250,13500,Medium,Normal Revenue
03-May-25,Weekend,Screen 9,Standard,Pushpa 2,Action,170,1:00 PM,Afternoon,66,100,66,250,16500,Medium,Normal Revenue
03-May-25,Weekend,Screen 9,Standard,Crew,Comedy Drama,124,4:00 PM,Evening,78,100,78,250,19500,Medium,Normal Revenue
03-May-25,Weekend,Screen 9,Standard,Shaitaan,Thriller,132,7:00 PM,Prime Time,88,100,88,250,22000,High,Normal Revenue
03-May-25,Weekend,Screen 9,Standard,Shaitaan,Thriller,132,10:00 PM,Night,74,100,74,250,18500,Medium,Normal Revenue
03-May-25,Weekend,Screen 10,Premium,Bad Newz,Comedy,142,10:00 AM,Morning,74,120,62,350,25900,Medium,Normal Revenue
03-May-25,Weekend,Screen 10,Premium,Chandu Champion,Sports Drama,145,1:00 PM,Afternoon,72,120,60,350,25200,Medium,Normal Revenue
03-May-25,Weekend,Screen 10,Premium,Munjya,Horror Comedy,123,4:00 PM,Evening,103,120,86,350,36050,High,Normal Revenue
03-May-25,Weekend,Screen 10,Premium,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,106,120,88,350,37100,High,Normal Revenue
03-May-25,Weekend,Screen 10,Premium,Kalki,Sci-Fi,180,10:00 PM,Night,88,120,73,350,30800,Medium,Normal Revenue
03-May-25,Weekend,Screen 11,Standard,Kalki,Sci-Fi,180,10:00 AM,Morning,43,80,54,250,10750,Medium,Normal Revenue
03-May-25,Weekend,Screen 11,Standard,Munjya,Horror Comedy,123,1:00 PM,Afternoon,63,80,79,250,15750,Medium,Normal Revenue
03-May-25,Weekend,Screen 11,Standard,Stree 2,Horror Comedy,150,4:00 PM,Evening,78,80,98,250,19500,High,Normal Revenue
03-May-25,Weekend,Screen 11,Standard,Animal,Crime Drama,201,7:00 PM,Prime Time,71,80,89,250,17750,High,Normal Revenue
03-May-25,Weekend,Screen 11,Standard,Fighter,Action,166,10:00 PM,Night,74,80,93,250,18500,High,Normal Revenue
03-May-25,Weekend,Screen 12,IMAX,Bad Newz,Comedy,142,10:00 AM,Morning,92,140,66,450,41400,Medium,Normal Revenue
03-May-25,Weekend,Screen 12,IMAX,Kalki,Sci-Fi,180,1:00 PM,Afternoon,105,140,75,450,47250,Medium,Normal Revenue
03-May-25,Weekend,Screen 12,IMAX,Shaitaan,Thriller,132,4:00 PM,Evening,105,140,75,450,47250,Medium,Normal Revenue
03-May-25,Weekend,Screen 12,IMAX,Stree 2,Horror Comedy,150,7:00 PM,Prime Time,140,140,100,450,63000,High,High Revenue
03-May-25,Weekend,Screen 12,IMAX,Kalki,Sci-Fi,180,10:00 PM,Night,109,140,78,450,49050,Medium,Normal Revenue
04-May-25,Weekend,Screen 1,IMAX,Fighter,Action,166,10:00 AM,Morning,68,120,57,450,30600,Medium,Normal Revenue
04-May-25,Weekend,Screen 1,IMAX,Stree 2,Horror Comedy,150,1:00 PM,Afternoon,79,120,66,450,35550,Medium,Normal Revenue
04-May-25,Weekend,Screen 1,IMAX,Munjya,Horror Comedy,123,4:00 PM,Evening,120,120,100,450,54000,High,High Revenue
04-May-25,Weekend,Screen 1,IMAX,Chandu Champion,Sports Drama,145,7:00 PM,Prime Time,120,120,100,450,54000,High,High Revenue
04-May-25,Weekend,Screen 1,IMAX,Kalki,Sci-Fi,180,10:00 PM,Night,79,120,66,450,35550,Medium,Normal Revenue
04-May-25,Weekend,Screen 2,Standard,Kalki,Sci-Fi,180,10:00 AM,Morning,58,80,72,250,14500,Medium,Normal Revenue
04-May-25,Weekend,Screen 2,Standard,Crew,Comedy Drama,124,1:00 PM,Afternoon,48,80,60,250,12000,Medium,Normal Revenue
04-May-25,Weekend,Screen 2,Standard,Fighter,Action,166,4:00 PM,Evening,62,80,78,250,15500,Medium,Normal Revenue
04-May-25,Weekend,Screen 2,Standard,Crew,Comedy Drama,124,7:00 PM,Prime Time,78,80,97,250,19500,High,Normal Revenue
04-May-25,Weekend,Screen 2,Standard,Kalki,Sci-Fi,180,10:00 PM,Night,64,80,80,250,16000,High,Normal Revenue
04-May-25,Weekend,Screen 3,Standard,Chandu Champion,Sports Drama,145,10:00 AM,Morning,51,100,51,250,12750,Medium,Normal Revenue
04-May-25,Weekend,Screen 3,Standard,Munjya,Horror Comedy,123,1:00 PM,Afternoon,76,100,76,250,19000,Medium,Normal Revenue
04-May-25,Weekend,Screen 3,Standard,Animal,Crime Drama,201,4:00 PM,Evening,90,100,90,250,22500,High,Normal Revenue
04-May-25,Weekend,Screen 3,Standard,Munjya,Horror Comedy,123,7:00 PM,Prime Time,89,100,89,250,22250,High,Normal Revenue
04-May-25,Weekend,Screen 3,Standard,Pushpa 2,Action,170,10:00 PM,Night,69,100,69,250,17250,Medium,Normal Revenue
04-May-25,Weekend,Screen 4,IMAX,Pushpa 2,Action,170,10:00 AM,Morning,83,140,59,450,37350,Medium,Normal Revenue
04-May-25,Weekend,Screen 4,IMAX,Crew,Comedy Drama,124,1:00 PM,Afternoon,101,140,72,450,45450,Medium,Normal Revenue
04-May-25,Weekend,Screen 4,IMAX,Chandu Champion,Sports Drama,145,4:00 PM,Evening,130,140,93,450,58500,High,High Revenue
04-May-25,Weekend,Screen 4,IMAX,Munjya,Horror Comedy,123,7:00 PM,Prime Time,126,140,90,450,56700,High,High Revenue
